file,key,language,path,state,value,source_value,comment
Localizable,character.bear,af,,translated,Beer,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,am,,translated,ድብ,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ar,,translated,دب,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,as,,translated,ভালুক,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,az,,translated,Ayı,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,be,,translated,Мядзведзь,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,bg,,translated,Мечка,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,bn,,translated,ভালুক,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,bo,,translated,དོམ,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,bs,,translated,Medvjed,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,ca,,translated,Ós,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,cs,,translated,Medvěd,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,cy,,translated,Arth,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,da,,translated,Bjørn,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,de,,translated,Bär,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
Localizable,character.bear,el,,translated,Αρκούδα,Bear,"Animal name, shown in the character picker, the premium gallery and unlock messages. One short noun a young child would use."
