file,key,language,path,state,value,source_value,comment
Localizable,game.bubblesCollected %lld,af,plural.one,new,%lld skulp versamel,%lld shell collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
Localizable,game.bubblesCollected %lld,af,plural.other,new,%lld skulpe versamel,%lld shells collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
Localizable,game.bubblesCollected %lld,am,plural.one,new,%lld ዛጎል ተሰብስቧል,%lld shell collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
Localizable,game.bubblesCollected %lld,am,plural.other,new,%lld ዛጎሎች ተሰብስበዋል,%lld shells collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
Localizable,game.bubblesCollected %lld,ar,plural.one,new,تم جمع %lld صدفة,%lld shell collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
Localizable,game.bubblesCollected %lld,ar,plural.other,new,تم جمع %lld أصداف,%lld shells collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
Localizable,game.bubblesCollected %lld,as,plural.one,new,%lldটা শামুকৰ খোলা সংগ্ৰহ কৰা হ’ল,%lld shell collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
Localizable,game.bubblesCollected %lld,as,plural.other,new,%lldটা শামুকৰ খোলা সংগ্ৰহ কৰা হ’ল,%lld shells collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
Localizable,game.bubblesCollected %lld,az,plural.one,new,%lld dəniz qabığı toplandı,%lld shell collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
Localizable,game.bubblesCollected %lld,az,plural.other,new,%lld dəniz qabığı toplandı,%lld shells collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
Localizable,game.bubblesCollected %lld,be,plural.one,new,Сабрана %lld ракавінка,%lld shell collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
Localizable,game.bubblesCollected %lld,be,plural.other,new,Сабрана %lld ракавінак,%lld shells collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
Localizable,game.bubblesCollected %lld,bg,plural.one,new,Събрана %lld мида,%lld shell collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
Localizable,game.bubblesCollected %lld,bg,plural.other,new,Събрани %lld миди,%lld shells collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows."
