file,key,language,path,state,value,source_value,comment
Localizable,game.bubblesCollected %lld,pl,plural.few,new,,%lld shells collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows.  ||  Existing pl: one = 'Zebrano %lld muszlę'; other = 'Zebrano %lld muszli'"
Localizable,game.bubblesCollected %lld,pl,plural.many,new,,%lld shells collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows.  ||  Existing pl: one = 'Zebrano %lld muszlę'; other = 'Zebrano %lld muszli'"
Localizable,game.bubblesCollected %lld,ru,plural.few,new,,%lld shells collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows.  ||  Existing ru: one = 'Собрана %lld ракушка'; other = 'Собрано %lld ракушек'"
Localizable,game.bubblesCollected %lld,ru,plural.many,new,,%lld shells collected,"VoiceOver label for the running shell total, on the home screen header and the in-game counter. Shells are the game's collectible; the total only ever grows.  ||  Existing ru: one = 'Собрана %lld ракушка'; other = 'Собрано %lld ракушек'"
Localizable,home.nextCharacter %lld %@,pl,plural.few,new,,%1$lld more shells to unlock %2$@,"VoiceOver label for the next-character prompt on the home screen. First argument is the shells still needed, second is the animal's name.  ||  Existing pl: one = 'Jeszcze %1$lld muszla, aby odblokować %2$@'; other = 'Jeszcze %1$lld muszli, aby odblokować %2$@'"
Localizable,home.nextCharacter %lld %@,pl,plural.many,new,,%1$lld more shells to unlock %2$@,"VoiceOver label for the next-character prompt on the home screen. First argument is the shells still needed, second is the animal's name.  ||  Existing pl: one = 'Jeszcze %1$lld muszla, aby odblokować %2$@'; other = 'Jeszcze %1$lld muszli, aby odblokować %2$@'"
Localizable,home.nextCharacter %lld %@,ru,plural.few,new,,%1$lld more shells to unlock %2$@,"VoiceOver label for the next-character prompt on the home screen. First argument is the shells still needed, second is the animal's name.  ||  Existing ru: one = 'Ещё %1$lld ракушка, чтобы открыть %2$@'; other = 'Ещё %1$lld ракушек, чтобы открыть %2$@'"
Localizable,home.nextCharacter %lld %@,ru,plural.many,new,,%1$lld more shells to unlock %2$@,"VoiceOver label for the next-character prompt on the home screen. First argument is the shells still needed, second is the animal's name.  ||  Existing ru: one = 'Ещё %1$lld ракушка, чтобы открыть %2$@'; other = 'Ещё %1$lld ракушек, чтобы открыть %2$@'"
Localizable,home.pausedCards %lld,pl,plural.few,new,,%lld shells paused,"VoiceOver value for a level tile that holds a paused run, saying how many shells are being kept.  ||  Existing pl: one = '%lld muszla wstrzymana'; other = '%lld muszli wstrzymanych'"
Localizable,home.pausedCards %lld,pl,plural.many,new,,%lld shells paused,"VoiceOver value for a level tile that holds a paused run, saying how many shells are being kept.  ||  Existing pl: one = '%lld muszla wstrzymana'; other = '%lld muszli wstrzymanych'"
